id,name,catalog,desc,gain,use,propetype,pic,
545,草麻黄,（麻黄科）,草本状小灌木，高30~40cm。小枝丛生，绿色。叶小，膜质，基部合生，上部2裂①。花单性，雌雄异株；雄花序有多数雄花，常成复穗状，每花有7~8枚雄蕊，花丝合生或先端微分离；雌花序卵形②，果实成熟时苞片膨大成肉质并变为红色③，内含2粒种子。生长于砂质干燥地，常成片丛生。分布于我国华北及吉林、辽宁、河南西北部、陕西、新疆等地。,秋季采收绿色的草质茎、根，晒干。,草质茎入药，中药名为「麻黄」。辛、微苦，温。归肺、膀胱经。发汗散寒，宣肺平喘，利水消肿。用于风寒感冒的治疗。根入药称「麻黄根」，能止汗，用于自汗、盗汗的治疗。,秋季麻黄种子成熟时外层红色、肉质苞片，可食，氨基酸总量超过草莓；维生素C的含量是沙棘的2倍以上；麻黄果中的微量元素含量也很高，尤其是锌的含量是草莓的40倍。,.\pic\med\草麻黄_1.jpeg,2026/3/27 7:43
546,紫苏,（脣形科）,一年生草本，高90cm，具香气。茎方形，紫色或绿色，有毛。叶阔卵形或圆形，边缘有粗锯齿①，两面绿色或紫色，或仅下面紫色，两面有毛。由轮伞花序整合总状花序状，花冠白色至紫红色②。小坚果球形，灰褐色。生长于村边或路旁。我国华北、华中、华南、西南及台湾省均有野生种和栽培种。,夏季枝叶茂盛时采收紫苏叶，除去杂质，晒干；秋季果实成熟时采收紫苏子，除去杂质，晒干；11~12月间采挖紫苏梗，除去杂质，晒干，或趁鲜切片，晒干。,①叶入药，中药名为「紫苏叶」，辛、温。归肺、脾经。解表散寒，行气和胃。用于风寒感冒，咳嗽呕恶，妊娠呕吐，鱼蟹中毒。②果实入药称「紫苏子」，辛、温。归肺、大肠经。降气消痰，平喘，润肠。用于痰壅气逆，咳嗽气喘，肠燥便祕。③茎入药称「紫苏梗」，辛、温。归肺、脾经。理气宽中，止痛，安胎。用于胸膈痞闷，胃脘疼痛，嗳气呕吐，胎动不安。,,.\pic\med\紫苏_1.jpeg,2026/3/27 7:43
547,荆芥,（脣形科）,一年生草本，高30~100cm。具香气，全体具柔毛。茎四稜，多分枝。叶对生，通常指状3裂，有时羽状深裂，裂片线状披针形①，具透明腺点。轮伞花序成假穗状间断排列，顶生，花冠蓝紫色。小坚果长圆状三稜形。生长于山坡、路旁或山谷。分布于黑龙江、辽宁、河北、河南、山西、陕西 、甘肃、四川、贵州等省。,夏、秋两季花开到顶、花穗绿时采割地上部分。除去杂质，晒干。,地上部分入药，中药名为「荆芥」，花序入药，中药名为「荆芥穗」。辛，微温。归肺、肝经。解表散风，透疹。用于感冒，头痛，麻疹，风疹，疮疡初起。炒炭能收涩止血。用于便血，崩漏，产后血晕。,,.\pic\med\荆芥_1.jpeg,2026/3/27 7:43
548,心叶荆芥,（脣形科）,多年生草本，高40~150cm。茎直立，四稜形，基部木质化，被白色短柔毛。叶对生，叶片卵状或三角状心形①，先端钝或锐尖，基部心形或截形，边缘具粗圆齿，两面被短柔毛。聚伞花序②二歧状分枝，小苞片短于花萼，花萼筒状，外面被白色短毛，花冠白色，下脣有紫色斑点，花盘杯状，4浅裂。小坚果卵形，灰褐色。生长于海拔2500m以下的宅旁或灌丛中，分布于我国西南及河北、山西、陕西、甘肃、新疆、山东、河南、湖北、西藏等地。,7~9月割去地上部分，阴干或鲜用。,地上部分入药。辛，凉。归肺、肝二经。疏风清热，活血止血。用于外感风热，头痛咽痛，麻疹透发不畅，吐血，衄血，外伤出血，跌打肿痛，疮痈肿痛，毒蛇咬伤。,,.\pic\med\心叶荆芥_1.jpeg,2026/3/27 7:43
549,防风,（伞形科）,多年生草本，高30~80cm。根长圆柱形。茎基密生褐色纤维状的叶柄残基。茎二歧分枝。基生叶二至三回羽状全裂，最终裂片条形至披针形；顶生叶仅具叶鞘。复伞形花序①；伞辐5~7；无总苞片，小总苞片4~6，花白色②。双悬果卵形，幼时具疣状突起，每稜槽中常有油管1，合生面2。野生于丘陵地带、山坡草丛中，或田地、路旁。分布于东北、内蒙古、河北、山东、河南、陕西、山西、湖南等地。,春、秋季挖根，除去残茎、须根及泥沙，晒至八九成干，捆成小把，晒干。,根入药。辛、甘，温。归膀胱、肝、脾经。解表祛风，利溼，止痉。用于感冒头痛，风溼痺痛，风疹瘙痒，破伤风。,,.\pic\med\防风_1.jpeg,2026/3/27 7:43
550,白芷,（伞形科）,多年生草本，高达2.5m，茎中空，带紫色。叶互生，宽卵状三角形，2~3回羽状分裂①。复伞形花序②，花序梗、伞辐、花梗均有糙毛，花瓣5枚，白色，先端凹头状。双悬果长圆形，侧稜宽翅状。生长于溼草甸子、灌木丛、河旁沙土或石砾质土中。分布于河南长葛、禹县者习称「禹白芷」分布于河北安国者习称「祁白芷」,夏、秋间叶黄时采挖根部。除去地上部分、须根及泥沙，晒干或低温烘干。,根入药。辛，温。归胃、大肠、肺经。散风除溼，通窍止痛，消肿排脓。用于感冒头痛，眉稜骨痛，鼻塞，鼻渊，牙痛，白带，疮疡肿痛。,,.\pic\med\白芷_1.jpeg,2026/3/27 7:43
551,杭白芷,（伞形科）,多年生草本，高1~2m。根圆锥形，具4稜，茎和叶鞘均为黄绿色。叶互生，茎下部叶大，叶柄长，基部鞘状抱茎①，2~3回羽状分裂，深裂或全裂，最终裂片阔卵形至卵形或长椭圆形，先端尖，边缘密生尖锐重锯齿，基部下延成柄，无毛或脉上有毛，茎中部叶小，上部的叶仅存卵形囊状的叶鞘。复伞形花序②密生短柔毛，花瓣黄绿色③；雄蕊5，花柱基部绿黄色或黄色。双悬果被疏毛。多生长于河岸、溪边，以及沿海的丛林砾岩上。分布于浙江、福建、四川等省。,夏、秋间叶黄时采挖根部。除去地上部分、须根及泥沙，晒干或低温烘干。,根入药。辛，温。归胃、大肠、肺经。散风除溼，通窍止痛，消肿排脓。用于感冒头痛，眉稜骨痛，鼻塞，鼻渊，牙痛，白带，疮疡肿痛。,,.\pic\med\杭白芷_1.jpeg,2026/3/27 7:43
552,苍耳,（菊科）,一年生草本，高30~90cm。全体密生白色短毛。叶互生，卵状三角形或心形①，先端尖，基部浅心形，边缘有不规则锯齿或3浅裂，贴伏短粗毛。花单性，雌雄同株，头状花序顶生或腋生，雄花序球状，生于上部叶腋，小花管状，5齿裂，雌花序卵状，总苞片2~3列，密生钩刺。瘦果2，纺锤形，包在有刺的总苞内②。生长于荒地、山坡等干燥向阳处。分布于全国各地。,带总苞的成熟果实于秋季成熟时采收，除去杂质，晒干。,果实入药，中药名为「苍耳子」。茎叶及根亦可入药。辛、苦，温，有小毒。归肺经，散风除溼，通鼻窍。用于风寒头痛，鼻渊流涕，风疹瘙痒，溼痺拘挛，麻风。,,.\pic\med\苍耳_1.jpeg,2026/3/27 7:43
553,玉兰,（木兰科）,落叶乔木，高达15m，冬芽密生灰绿色或灰黄色绒毛。单 叶互生，全缘，托叶膜质，脱落后在小枝上留下一环状托叶痕。花单生于枝顶，先叶开放，白色，花被9片，花瓣状①。聚合蓇葖果②。多栽培或野生于阔叶林中。分布于河南、山东、江苏、浙江、安徽、江西、福建、广东、广西、四川、云南、贵州、陕西等地。,冬末春初花未开放时采收，除去枝梗及杂质，阴干。,花蕾入药，中药名为「辛夷」。辛，温。归肺、胃经。散风寒，鼻通窍。用于风寒头痛，鼻塞，鼻渊，鼻流浊涕。,,.\pic\med\玉兰_1.jpeg,2026/3/27 7:43
554,望春玉兰,（木兰科）,落叶乔木。一般高6~12m，树皮淡灰色，不开裂，嫩枝有托叶留下的环状痕迹，无毛，顶芽密生有淡黄色展开的长柔毛。叶互生，叶片椭圆状披针形，上面无毛，嫩叶下面有平伏绵毛，老叶变无毛。花蕾单生于枝条顶端，长卵形①，花大，紫红色②，芳香，花瓣9枚，雄蕊多数。聚合果。生长于较温暖地区。原分布于湖北、安徽、浙江、福建一带，现在野生较少，在山东、四川、江西、湖北、云南、陕西南部、河南等地广泛栽培。,冬末春初花未开放时采收，除去枝梗及杂质，阴干。,花蕾入药，中药名为「辛夷」。辛，温。归肺、胃经。散风寒，鼻通窍。用于风寒头痛，鼻塞，鼻渊，鼻流浊涕。,,.\pic\med\望春玉兰_1.jpeg,2026/3/27 7:43
555,百里香,（脣形科）,落叶半灌木，高20~50cm，茎四稜，常匍匐。叶对生，卵圆形①。花序近头状，花冠紫红色、淡紫色或粉红色②，二脣形，上脣微凹，下脣3裂，雄蕊4枚，前对略伸出。小坚果4枚，卵圆形。全株具芳香味。生于山坡、石质干河床、路边等处，分布于我国华北及陕西、甘肃、青海等省。,夏季枝叶茂盛时采收，拔起全株，洗净，剪去根部，切段，晒干。,地上部分入药，中药名为「地椒」。辛，微温。归肺、脾二经。祛风解表，行气止痛，止咳，降压。用于感冒，咳嗽，头痛，牙痛，消化不良，急性胃肠炎，高血压病。,可作香料。百里香提炼的精油，具有明显的消毒和杀菌作用。,.\pic\med\百里香_1.jpeg,2026/3/27 7:43
556,罗勒,（脣形科）,一年生直立草本，高0.5~1m，全体芳香。茎四方形，上部多分枝，表面通常紫绿色，被柔毛①。叶对生，卵形或卵状披针形，先端急尖或渐尖，基部楔形，边缘有疏锯齿或全缘，下面有脓点。轮伞花序顶生，花轴长而被有密柔毛②，苞片卵形而小，边缘具毛，花萼管状，先端5裂，花冠2脣形，白色或淡红色，雄蕊4，2强，均伸出于花冠外，子房4裂。小坚果4枚，卵形至矩圆形，暗褐色。生于溪边、沼泽旁溼地、水田、菜园及潮溼的山坡、路旁和草地。分布于云南东南部。我国广西、广东、台湾、福建、浙江、江苏等地亦有栽培。,夏秋采收全草，除去细根和杂质，切细晒干。,全草入药。辛，温。归手、足太阴经，手、足阳明经。发汗解表，祛风利溼，散瘀止痛。用于风寒感冒，头痛，胃腹胀满，消化不良，胃痛，肠炎腹泻，跌打肿痛，风溼关节痛；外用治蛇咬伤，溼疹，皮炎。,,.\pic\med\罗勒_1.jpeg,2026/3/27 7:43
557,石胡荽,（菊科）,一年生小草本，高5~20cm。茎纤细，多分枝，基部匍匐，着地后易生根，无毛或略具细绵毛。叶互生，无柄，叶片楔状倒披针形，长7~20mm，宽3~5mm，先端钝，边缘不规则的疏齿①，无毛，或下面稍有细毛。头状花序细小，扁球形，直径约3mm，单生于叶腋，无总花梗或近于无总花梗；花淡黄色或黄绿色，全为筒状。瘦果椭圆形，长约1mm，具4稜，边缘有长毛。花期9~11月。生于稻田或阴溼处、路旁。分布于我国黑龙江、吉林、辽宁、河北、河南等地。,夏、秋两季花开时采收，洗去泥沙，晒干。,全草入药，中药名为「鹅不食草」。辛，温。祛风散寒，胜溼去翳，通鼻塞。用于风寒头痛，咳嗽痰多，鼻塞不通，鼻渊流涕。,,.\pic\med\石胡荽_1.jpeg,2026/3/27 7:43
558,柽柳,（柽柳科）,灌木或小乔木，高3~6m。幼枝柔弱，开展而下垂，红紫色或暗紫色。叶鳞片状，钻形或卵状披针形，长1~3mm，背面有龙骨状柱。春季在去年生小枝节上侧生总状花序，花稍大而稀疏；夏、秋季在当年生幼枝顶端形成总状花序组成顶生大型圆锥花序，常下弯，花略小而密生；花瓣5枚，粉红色；花瓣椭圆状倒卵形，长约2mm；雄蕊着生于花盘裂片之间，长于花瓣；花柱3，棍棒状。蒴果长约3.5mm，3瓣裂。花期4~9月，果期6~10月。生于山野或栽培于庭园。分布于我国河南、河北、山东、安徽等地。,4~5月花未开时，折取细嫩枝叶，阴干。,细嫩枝叶入药。甘、咸，平。疏风解表，利尿解毒。治麻疹难透，风疹身痒，感冒，咳喘，风溼骨痛。,,.\pic\med\柽柳_1.jpeg,2026/3/27 7:43
559,肉桂,（樟科）,常绿乔木，高12~17m。树皮灰褐色，芳香，幼枝略呈四稜形。叶互生，革质；长椭圆形至近披针形，长8~17cm，宽3.5~6.0cm，先端尖，基部钝，全缘，上面绿色，有光泽，下面灰绿色，被细柔毛；花小，直径约3cm；花梗长约5mm；发育雄蕊9枚，3轮，花葯矩圆形，4室，瓣裂，外面2轮花葯内向，第3轮雄蕊外向，花丝基部有2腺体，最内尚有1轮退化雄蕊，花葯心脏形；雌蕊稍短于雄蕊，柱头略呈盘状。浆果椭圆形或倒卵形①，先端稍平截，暗紫色，长12~13mm，外有宿存花被。种子长卵形，紫色。花期5~7月。果期至次年2~3月。栽培于砂土及斜坡山地。分布于我国福建、广东、广西、云南等地。,春、夏两季采收，除去叶，晒干，或切片晒干。,嫩枝入药，中药名为「桂枝」。辛、甘，温。发汗解肌，温通经脉，助阳化气，平冲降气。用于风寒感冒，脘腹冷痛，血寒经闭，关节痺痛，痰饮，水肿，心悸。,,.\pic\med\肉桂_1.jpeg,2026/3/27 7:43
560,辽藁本,（伞形科）,多年生草本。高15～60cm，根茎发达，具膨大结节，生有多数须根。茎中空，具条纹；基生叶具长柄，叶片宽三角形，二回三出羽状全裂，在花期凋落。复伞形花序①具短柔毛，伞辐8～16，总苞片1～2或无，早落。双悬果椭圆形②，合生面有油管2～4个。生于山地林缘，以及多石砾的山坡林下。分布于吉林、辽宁、河北、山东、山西等地。,秋季茎叶枯萎或次春出苗时采挖，除去泥沙，晒干或烘干。,根及根茎入药，中药名为「藁本」。辛，温。归膀胱经。祛风，散寒，除溼，止痛。用于风寒感冒，巅顶疼痛，风溼肢节痺痛。,,.\pic\med\辽藁本_1.jpeg,2026/3/27 7:43
561,芫荽,（伞形科）,一年生或二年生草本，高30~100cm。全株无毛，有浓烈的香气。根细长，有多数纤细的支根。茎直立，多分枝。基生叶一至二回羽状全列，边缘有钝锯齿、缺刻或深裂。伞形花序顶生或与叶对生，花序梗长2~8cm；无总苞；小伞形花序有花3~10朵，花白色或带淡紫色，花瓣倒卵形，长1~1.2mm，宽约1mm，先端有内凹的小舌片；辐射瓣通常全缘；药柱于果成熟时向外反曲。果实近球形①，直径约1.5mm。背面主稜及相邻的次稜明显，胚乳腹面内凹，油管不明显，或有1个位于次稜下方。花果期4~11月。现我国各地多有栽培。原产地中海地区。,春季采收，洗净，晒干。,带根全草入药，中药名为「胡荽」。辛，温。发汗透疹，消食下气。治麻疹透发不畅，食物积滞。,,.\pic\med\芫荽_1.jpeg,2026/3/27 7:43
562,羌活,（伞形科）,多年生草本，高达1m以上。根茎块状或长圆柱状。茎直立，表面淡紫色，有纵沟纹，中空，无毛。叶互生，茎下部的叶为二~三回单数羽状复叶；叶柄长10~20cm，基部抱茎，两侧呈鞘状；茎上部叶近无柄。基部扩大呈长卵形的鞘而抱茎；叶片薄，上面深绿色，下面淡绿色，无毛。复伞形花序顶生或腋生①，总伞梗10~15枚；花瓣白色，5枚，倒卵形，先端尖，向内折卷。双悬果卵圆形，平滑无毛，果实成熟时裂开成二分果，悬挂在两果柱的顶端。花期8~9月。果期9~10月。生于高山灌木林或草丛中。分布于我国青海、四川、云南、甘肃。,春、秋两季采挖，除去须根及泥沙，晒干。,根及根茎入药。辛、苦，温。散寒，祛风，除溼，止痛。用于风寒感冒头痛，风溼痺痛，肩背痠痛。,,.\pic\med\羌活_1.jpeg,2026/3/27 7:43
563,北细辛,（马兜铃科）,多年生草本，高12~24cm。根茎横走，密生须根，捻之有辛香。茎短，基部有2~3枚鳞片，茎端生2~3叶；叶柄长5~18cm，通常无毛或稀有短毛，具浅沟槽；叶片心形或近于肾形，长5~11cm，宽6~15cm，先端钝尖，偶或渐尖，全缘。花单生于叶腋，花梗长3~5cm，直立。花被筒壶形，紫褐色，内有隆起的稜条；喉部有环状缢缩。假浆果半球形，长10mm，宽约12mm。种子卵状圆锥形，有硬壳，表面具有黑色肉质的假种皮。花期5月，果期6月。生长于林下、灌木丛间、山沟、林缘或山阴溼地。分布于我国东北及山东、山西、河南等地。,夏季果熟期或初秋采挖，除去泥沙，阴干。,全草入药，中药名为「细辛」。辛，温。祛风散寒，通窍止痛，温肺化饮。用于风寒感冒，头痛，牙痛，鼻塞鼻渊，风溼痺痛，痰饮喘咳。,,.\pic\med\北细辛_1.jpeg,2026/3/27 7:43
564,望春花,（木兰科）,落叶灌木，高3~4m。干皮灰白色；小枝紫褐色，平滑无毛，具纵阔椭圆形皮孔，浅白棕色①。叶互生，具短柄，柄长1.5~2.0cm，无毛，有时稍具短毛；叶片椭圆形或倒卵状椭圆形，长10~16cm，宽5.0~8.5cm，先端渐尖，基部圆形，全缘，两面均光滑无毛②，有时于叶缘处具极稀短毛，表面绿色，背面浅绿色，主脉凸出。花于叶前开放，或近同时开放，单一，生于小枝顶端；花冠6片，外面紫红色，内面白色，倒卵形，长8cm左右。果实长椭圆形，有时稍弯曲③。花期2~5月。生长于较温暖地区。原分布于我国湖北、安徽、浙江、福建一带，现在野生较少，在山东、四川、江西、湖北等地广泛栽培。,冬末春初花未开放时采收，除去枝梗，阴干。,花蕾入药。辛，温。散风寒，通鼻窍。用于风寒头痛，鼻塞，鼻渊，鼻流浊涕。,,.\pic\med\望春花_1.jpeg,2026/3/27 7:43
565,海洲香薷,（脣形科）,多年生草本，高30~50cm。茎直立，淡紫色①，叶卵状三角形，卵状长圆形至长圆状披针形或披针形，叶柄在茎中部叶上较长，向上变短，苞片近圆形或宽卵圆形。花冠玫瑰红紫色，小坚果长圆形，花、果期9~11月。分布于我国辽宁、河北、山东、河南、安徽、江苏、浙江、江西、湖北、四川、贵州、云南、陕西、甘肃等地。,夏、秋季茎叶茂盛、花初开时采割，阴干或晒干，捆成小把。,全草入药。味辛，性微温，归肺、胃经。发汗解暑，和中结溼，行水消肿。用于夏月外感风寒，内伤于溼，恶寒发热，头痛无汗，脘腹疼痛，呕吐腹泻，小便不利，水肿。,,.\pic\med\海洲香薷_1.jpeg,2026/3/27 7:43
566,姜,（姜科）,多年生宿根草本。根茎肉质，肥厚，扁平，有芳香和辛辣味。叶披针形至条状披针形①，先端渐尖基部渐狭，平滑无毛，有抱茎的叶鞘。穗状花序卵形至椭圆形，苞片卵形，淡绿色，花稠密，萼短筒状，花冠3裂，裂片披针形，黄色，脣瓣较短，长圆状倒卵形，呈淡紫色，有黄白色斑点，雄蕊1枚，子房下位；花柱丝状，淡紫色，柱头放射状。蒴果约5cm。花期6~8月。在中国中部、东南部至西南部各省区广为栽培。,冬季采挖，除去须根和泥沙，新鲜者为生姜；晒干或低温干燥者为干姜，趁鲜切片晒干或低温干燥者称为「干姜片」。,根状茎入药。①生姜：辛，微温。归肺、脾、胃经。解表散寒，温中止呕，化痰止咳，解鱼蟹毒。用于风寒感冒，胃寒呕吐，寒痰咳嗽，鱼蟹中毒。②干姜：辛，热。归脾、胃、肾、心、肺经。温中散寒，回阳通脉，温肺化饮。用于脘腹冷痛，呕吐泄泻，肢冷脉微，寒饮喘咳。,,.\pic\med\姜_1.jpeg,2026/3/27 7:43
567,水棘针,（脣形科）,一年生草本。呈金字塔形分枝。茎四稜，紫色或紫灰色①，被疏柔毛。叶对生；叶片纸质或近膜质，三角形或近卵形，3深裂，裂片披针形，边缘具粗齿；叶片上面绿色，下面色淡，中肋隆起。圆锥花序由聚伞花序所组成；萼齿5裂，三角形，渐尖，边缘具缘毛，果时花萼增大；花冠蓝色或紫蓝色，冠檐二脣形②，上脣2裂，下脣3裂；雄蕊4枚。小坚果呈倒卵状三稜形。花期8~9月，果期9~10月。生于田边旷野、沙地河不滩、路边及溪旁。分布于我国华北及吉林、辽宁、陕西、甘肃、新疆、山东、安徽、河南、湖北、四川、云南等地。,夏季采收，切段，晒干。,全草入药。味辛，性平，归肺经。疏风解表，宣肺平喘。主治感冒，咳嗽气喘。,,.\pic\med\水棘针_1.jpeg,2026/3/27 7:43
