发病部位,疾病名称,证型名称,病机要点,辨证要点,临床表现,治法,代表方剂,发病概率,治疗难度
肺系,感冒,风寒束表证,风寒外束，卫阳被郁，腠理闭塞，肺气不宣,恶寒重，发热轻，无汗，头痛，舌苔薄白，脉浮紧,恶寒重，发热轻，无汗，头痛，肢节酸疼，鼻塞声重，或鼻痒喷嚏，时流清涕，咽痒，咳嗽，咳痰稀薄色白，口不渴或渴喜热饮，舌苔薄白而润，脉浮或浮紧,辛温解表,荆防败毒散,常见,一般
肺系,感冒,风热犯表证,风热犯表，热郁肌腠，卫表失和，肺失清肃,身热较著，微恶风，汗泄不畅，咽干，舌苔薄白微黄，脉浮数,身热较著，微恶风，汗泄不畅，咽干甚则咽痛，鼻塞，流黄稠涕，头胀痛，咳嗽，痰黏或黄，口干欲饮，舌苔薄白微黄，舌边尖红，脉浮数,辛凉解表,银翘散,常见,一般
肺系,感冒,暑湿伤表证,暑湿伤表，表卫不和，肺气不清,身热，微恶风，汗少，肢体酸重，头昏重胀痛，舌苔薄黄而腻，脉濡数,身热，微恶风，汗少，肢体酸重或疼痛，头昏重胀痛，咳嗽痰黏，鼻流浊涕，心烦口渴，或口中黏腻，胸闷脘痞，腹胀大便，小便短赤，舌苔薄黄而腻，脉濡数,清暑祛湿解表,新加香薷饮,少见,一般
肺系,感冒,气虚感冒证,气虚卫弱，风寒乘袭，气虚无力达邪,恶寒较甚，发热，无汗，身楚倦怠，咳嗽，咳痰无力，脉浮而无力,恶寒较甚，发热，无汗，身楚倦怠，咳嗽，咳痰无力，平素神疲体弱，气短懒言，反复易感，舌淡苔白，脉浮而无力,益气解表,参苏饮,少见,较难
肺系,感冒,阴虚感冒证,阴亏津少，外受风热，表卫失和，津液不能作汗,身热，微恶风寒，少汗，干咳少痰，舌红少苔，脉细数,身热，微恶风寒，少汗，头昏，心烦，口干，干咳少痰，舌红少苔，脉细数,滋阴解表,葳蕤汤,罕见,较难
肺系,咳嗽,风寒袭肺证,风寒袭肺，肺气失宣,咳嗽声重，气急，咽痒，咳痰稀薄色白，舌苔薄白，脉浮或浮紧,咳嗽声重，气急，咽痒，咳痰稀薄色白，常伴鼻塞，流清涕，头痛，肢体酸楚，恶寒，发热，无汗等表证，舌苔薄白，脉浮或浮紧,疏风散寒，宣肺止咳,三拗汤合止嗽散,常见,一般
肺系,咳嗽,风热犯肺证,风热犯肺，肺失清肃,咳嗽频剧，气粗或咳声嘶哑，喉燥咽痛，咳痰不爽，痰黏稠或黄，舌苔薄黄，脉浮数或浮滑,咳嗽频剧，气粗或咳声嘶哑，喉燥咽痛，咳痰不爽，痰黏稠或黄，咳时汗出，常伴鼻流黄涕，口渴，头痛，身楚，恶风，身热等表证，舌苔薄黄，脉浮数或浮滑,疏风清热，宣肺止咳,桑菊饮,常见,一般
肺系,咳嗽,风燥伤肺证,风燥伤肺，肺失清润,干咳，连声作呛，喉痒，唇鼻干燥，无痰或痰少而黏，不易咯出，舌苔薄白或薄黄，质红，干而少津，脉浮数或浮细数,干咳，连声作呛，喉痒，咽喉干痛，唇鼻干燥，无痰或痰少而黏，不易咯出，或痰中带有血丝，口干，初起或伴鼻塞，头痛，微寒，身热等表证，舌苔薄白或薄黄，质红，干而少津，脉浮数或浮细数,疏风清肺，润燥止咳,桑杏汤,少见,一般
肺系,咳嗽,痰湿蕴肺证,脾湿生痰，上渍于肺，壅遏肺气,咳嗽反复发作，咳声重浊，痰多，因痰而嗽，痰出咳平，痰黏腻或稠厚成块，色白或带灰色，舌苔白腻，脉濡滑,咳嗽反复发作，咳声重浊，痰多，因痰而嗽，痰出咳平，痰黏腻或稠厚成块，色白或带灰色，每于早晨或食后则咳甚痰多，进甘甜油腻食物加重，胸闷，脘痞，呕恶，食少，体倦，大便时溏，舌苔白腻，脉象濡滑,燥湿化痰，理气止咳,二陈平胃散合三子养亲汤,常见,较难
肺系,咳嗽,痰热郁肺证,痰热壅肺，肺失肃降,咳嗽，气息粗促，或喉中有痰声，痰多质黏厚或稠黄，咯吐不爽，舌质红，舌苔薄黄腻，脉滑数,咳嗽，气息粗促，或喉中有痰声，痰多质黏厚或稠黄，咯吐不爽，或有热腥味，或吐血痰，胸胁胀满，咳时引痛，面赤，或有身热，口干而黏，欲饮水，舌质红，舌苔薄黄腻，脉滑数,清热肃肺，豁痰止咳,清金化痰汤,常见,较难
