类别,方剂名称,组成（原方剂量 + 现代参考量）,用法,功用,主治,证治机理,方解（君臣佐使）,配伍特点,运用（辨证要点 + 禁忌）
解表剂?辛温解表,麻黄汤,麻黄去节，三两（9g）、桂枝去皮，二两（6g）、杏仁去皮尖，七十个（9g）、甘草炙，一两（3g）,水煎服，温覆取微汗,发汗解表，宣肺平喘,外感风寒表实证：恶寒发热，头身疼痛，无汗而喘，舌苔薄白，脉浮紧,风寒束表，卫闭营郁，毛窍闭塞，肺气失宣,君：麻黄；臣：桂枝；佐：杏仁；使：甘草,麻桂相须，开腠畅营；麻杏相使，宣降相宜,辨证要点：恶寒发热、无汗而喘、脉浮紧；禁忌：疮家、淋家、衄家、亡血家禁用
解表剂?辛温解表,大青龙汤,麻黄去节，六两（12g）、桂枝二两（6g）、甘草炙，二两（6g）、杏仁去皮尖，四十粒（6g）、石膏如鸡子大（18g）、生姜三两（9g）、大枣十二枚（6g）,水煎温服，取微汗,发汗解表，兼清里热,外感风寒内有郁热证；溢饮：身体疼重，四肢浮肿，恶寒身热无汗烦躁,风寒束表，阳气内郁化热；或风寒外束，水饮溢于四肢,君：麻黄；臣：桂枝、石膏；佐：杏仁、生姜、大枣；使：甘草,寒温并用，表里同治，重在辛温发汗,辨证要点：恶寒发热、无汗、烦躁、脉浮紧；表虚者禁用
解表剂?辛温解表,桂枝汤,桂枝去皮，三两（9g）、芍药三两（9g）、甘草炙，二两（6g）、生姜切，三两（9g）、大枣擘，十二枚（6g）,水煎服，温覆取微汗，服后啜热稀粥,解肌发表，调和营卫,外感风寒表虚证：恶风发热，汗出头痛，鼻鸣干呕，苔白不渴，脉浮缓或浮弱,外感风寒，营卫不和（卫强营弱）,君：桂枝；臣：芍药；佐：生姜、大枣；使：甘草,辛散与酸收相配，散中有收；助阳与益阴同用，营卫并调,辨证要点：恶风、发热、汗出、脉浮缓；禁忌：禁生冷、黏滑等物
解表剂?辛温解表,九味羌活汤,羌活（9g）、防风（9g）、苍术（9g）、细辛（3g）、川芎（6g）、香白芷（6g）、生地黄（6g）、黄芩（6g）、甘草（6g）,水煎服,发汗祛湿，兼清里热,外感风寒湿邪内有蕴热证：恶寒发热无汗，头痛项强，肢体酸楚疼痛，口苦微渴,外感风寒湿邪，郁遏卫阳，闭塞腠理；里有蕴热,君：羌活；臣：防风、苍术；佐：细辛、白芷、川芎、生地、黄芩；使：甘草,主以辛温，少佐寒凉，六经分治,辨证要点：恶寒发热、头痛无汗、肢体酸楚疼痛、口苦微渴
解表剂?辛温解表,香苏散,香附子炒香去毛、紫苏叶各四两（12g）、甘草炙，一两（3g）、陈皮不去白，二两（6g）,作汤剂，水煎服,疏散风寒，理气和中,外感风寒气郁不舒证：恶寒身热，头痛无汗，胸脘痞闷，不思饮食,外感风寒，卫阳被遏；内兼气滞,君：苏叶；臣：香附；佐：陈皮；使：甘草,辛温疏表与理气行滞相伍，表里同治，重在解表,辨证要点：恶寒发热、头痛无汗、胸脘痞闷、苔薄白、脉浮
解表剂?辛温解表,小青龙汤,麻黄去节，三两（9g）、芍药三两（9g）、细辛三两（3g）、干姜三两（6g）、甘草炙，三两（6g）、桂枝去皮，三两（9g）、五味子半升（9g）、半夏洗，半升（9g）,水煎服,解表散寒，温肺化饮,外寒内饮证：恶寒发热无汗，喘咳痰涎清稀量多，胸痞,外感风寒，表寒引动内饮，水寒相搏，肺失宣降,君：麻黄、桂枝；臣：干姜、细辛；佐：半夏、五味子、芍药；使：甘草,辛散与酸收相配，散中有收；温化与敛肺相伍，开中有合,辨证要点：恶寒发热、无汗、喘咳、痰多清稀、舌苔白滑、脉浮
解表剂?辛温解表,止嗽散,桔梗炒、荆芥、紫菀蒸、百部蒸、白前蒸各二斤（各 12g）、甘草炒十二两（4g）、陈皮水洗去白一斤（6g）,作汤剂，水煎服,宣利肺气，疏风止咳,风邪犯肺之咳嗽证：咳嗽咽痒，咯痰不爽，或微恶风发热,风邪犯肺，肺失清肃；或表解不彻，余邪未尽,君：紫菀、百部；臣：桔梗、白前；佐：荆芥、陈皮；使：甘草,温润平和，不寒不热；重在治肺，兼解表邪,辨证要点：咳嗽咽痒、微恶风发热、苔薄白
解表剂?辛凉解表,银翘散,连翘一两（30g）、银花一两（30g）、苦桔梗六钱（18g）、薄荷六钱（18g）、竹叶四钱（12g）、生甘草五钱（15g）、芥穗四钱（12g）、淡豆豉五钱（15g）、牛蒡子六钱（18g）,作汤剂，加芦根 18g，水煎服，香气大出即取服,辛凉透表，清热解毒,温病初起：发热微恶风寒，无汗或有汗不畅，口渴头痛，咽痛咳嗽,温邪初起，邪在卫分，卫气被郁，肺气失宣,君：银花、连翘；臣：薄荷、牛蒡子、荆芥穗、淡豆豉；佐：芦根、竹叶、桔梗；使：生甘草,辛凉与辛温相伍，主以辛凉；疏散与清解相配，疏清兼顾,辨证要点：发热、微恶寒、咽痛、口渴、脉浮数；禁忌：不宜久煎，舌白滑者禁用
解表剂?辛凉解表,桑菊饮,桑叶二钱五分（7.5g）、菊花一钱（3g）、杏仁二钱（6g）、连翘一钱五分（5g）、薄荷八分（2.5g）、苦桔梗二钱（6g）、生甘草八分（2.5g）、苇根二钱（6g）,水煎温服,疏风清热，宣肺止咳,风温初起邪客肺络证：但咳，身热不甚，口微渴,风温初起，邪犯肺络，肺失清肃，邪浅病轻,君：桑叶、菊花；臣：杏仁、桔梗；佐：薄荷、连翘、芦根；使：甘草,轻清疏风以解表，辛苦宣肃以止咳,辨证要点：咳嗽、发热不甚、微渴、脉浮数
解表剂?辛凉解表,麻黄杏仁甘草石膏汤,麻黄去节，四两（9g）、杏仁去皮尖，五十个（9g）、甘草炙，二两（6g）、石膏碎绵裹，半斤（18g）,水煎服,辛凉疏表，清肺平喘,外感风邪邪热壅肺证：身热不解，有汗或无汗，咳逆气急，甚则鼻扇,表邪入里化热，壅遏于肺，肺失宣降,君：麻黄、石膏；臣：杏仁；使：炙甘草,辛温与寒凉并用，共成辛凉之剂，宣肺而不助热，清肺而不凉遏,辨证要点：发热、喘咳、苔黄、脉数；石膏倍于麻黄
解表剂?辛凉解表,柴葛解肌汤,柴胡（6g）、干葛（9g）、甘草（3g）、黄芩（6g）、羌活（3g）、白芷（3g）、芍药（6g）、桔梗（3g）,水煎温服，加生姜三片，大枣二枚，石膏末一钱,解肌清热,外感风寒郁而化热证：恶寒渐轻，身热增盛，无汗头痛，目疼鼻干，心烦不眠,太阳风寒未解，化热入里，初犯阳明、少阳，三阳合病,君：葛根、柴胡；臣：羌活、白芷、黄芩、石膏；佐：桔梗、芍药、大枣、生姜；使：甘草,温清并用，三阳同治，表里兼顾，重在疏泄透散,辨证要点：发热重、恶寒轻、头痛、眼眶痛、鼻干、脉浮微洪
解表剂?辛凉解表,升麻葛根汤,升麻、白芍药、甘草炙各十两（各 6g）、葛根十五两（9g）,水煎服,解肌透疹,麻疹初起：疹发不出，身热头痛，咳嗽，目赤流泪，口渴,肺胃蕴热，感麻毒时疫之邪，外邪袭表，抑遏疹毒外达,君：升麻；臣：葛根；佐：芍药；使：炙甘草,辛凉与酸甘合法，主以升散清解，少佐酸敛益阴,辨证要点：疹发不出或出而不畅、舌红、脉数；麻疹已透者不宜使用
解表剂?辛凉解表,葱豉桔梗汤,鲜葱白三枚至五枚（9g）、苦桔梗一钱至钱半（5g）、焦山栀二钱至三钱（6g）、淡豆豉三钱至五钱（9g）、苏薄荷一钱至钱半（5g）、青连翘钱半至二钱（6g）、生甘草六分至八分（2g）、鲜淡竹叶三十片（3g）,水煎服,疏风清热,风温初起证：头痛身热，微恶风寒，咳嗽，咽痛，口渴,风温初起，风热侵犯肺卫，卫气被郁，肺气失宣,君：葱白、豆豉；臣：薄荷、连翘；佐：桔梗、山栀、竹叶；使：生甘草,辛凉与辛温同伍，透邪于外；清疏与清泻兼顾，导热于下,辨证要点：头痛身热、咳嗽、咽痛、口渴、脉浮数
解表剂?扶正解表,败毒散（原名人参败毒散）,柴胡去苗、甘草燃、桔梗、人参去芦、川芎、茯苓去皮、枳壳去瓤麸炒、前胡去苗洗、羌活去苗、独活去苗各三十两（各 9g）,加生姜 3g，薄荷 2g，水煎服,散寒祛湿，益气解表,气虚外感风寒湿证：憎寒壮热，头项强痛，肢体酸楚疼痛，无汗，鼻塞声重,气虚而风寒湿邪束表，痰湿内生，肺气失宣,君：羌活、独活；臣：柴胡、川芎；佐：桔梗、枳壳、前胡、茯苓、人参；使：生姜、薄荷、甘草,主辛温以解表，辅宣肃以止咳，佐益气以祛邪,辨证要点：恶寒发热、头身重痛、无汗、脉浮重按无力；可治外邪陷里之痢疾
